zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
deliquesce,"tuisuak, tuizaan",verb,C2,tuisuak | tuizaan | v. tuisuak; tuizaan.s | tuisuak tuizaan | deliquesce,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
deliquescent,"deliquescent, huihsungah tui apiang",adjective,C2,deliquescent | huihsungah tui apiang,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
delirious,(adj) thinlung aa mi; lung molh mi.,adj,C2,(adj) thinlung aa mi; lung molh mi.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
deliriously,(adv.): သွေးရူးသွေးတန်းဖြစ်လျက်။,,C2,(adv.): သွေးရူးသွေးတန်းဖြစ်လျက်။,,,,,,,TongDot,,
delirium,(n) nat ruangih thinglung aat.,n,C2,(n) nat ruangih thinglung aat.,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
deliver,"(v) lakhia, tankhia, hawm khia thohkhia",verb,C2,"(v) lakhia, tankhia, hawm khia thohkhia",,,,Factory-Asa sat ding/Aksa deliver ding‬,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
deliverer,Deliverer,noun,C2,"Suaktasakpa. Zeisu in i mawhna leh mawhna thamante pan hong suaktasak hi. Sihna leh gawtmun pan bek hilo in gentheihna pan nisim in Pasian in hong suaktasak hi. Hotkhiatna pen kha bek hotkhiatna hilo in gentheihna leh dawi nasepna pan hotkhiatna hi. Zeisu bek in hong honkhia thei hi. Zeisu hotkhiatna leh hong suahtaksakna in tawmvei sung bek hilo in a tawntung a kimang ding suahtakna hi. I gentheihna, haksatna, natnate pan hong suaktasak thei Zeisu bek hi. | Deliverer | honpa gumpa | deliver | deliverer",,,,"Come,Great Deliverer, Come! [Late 40:17].",,,"Tongdot-MCPG, Dr. Mang Cin Pau Gualnam, Tongdot-TKD",,
delivery,"(n) khahkhiatna, lakkhiatna",n,C2,"(n) khahkhiatna, lakkhiatna",,,,Amah pizza delivery bawl hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
dell,"(n) guamthukzang, luizang lianlo",noun,C2,"(n) guamthukzang, luizang lianlo",,,,Ziri pen Dell pan hi.,,,"TongDot, Tongdot-TKD, Dongdot",,
delouse,"delouse, khahpi hah siang hi",verb,C2,delouse | khahpi hah siang hi | hikteng bei sak | hikteng bei sak hik om lo sak Greekte laimal lina gun lian mahmah khat tuipi sunga luut ding cianga tampi taka a kaatkhiatna mun teng | hik om lo sak,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delphahin,thou,n,C2,thou | lie | iniquity | left | side,,,,“Tua ciangin na veilam pang delphahin lum in. Israel mite',,Attested 160× across 2 Bible books.,,,
delphic,"Delphic, delphic",adjective,C2,Delphic | delphic | Nidang Grik Pasian piak thusuak tawh kisai akhiatna aki cianlo akhiatna namnin a phathei,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
delphinium,"delphinium, a meldum paak kung a sau paak namkhat",noun,C2,delphinium | a meldum paak kung a sau paak namkhat,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
delta,(n) tuipi gei zang lei hoihna,noun,C2,(n) tuipi gei zang lei hoihna,,,,Hih satha-te pen Okavango Delta-ah a nungta uh hi.,,,"TongDot, Tongdot-TKD, Dongdot",,
delude,"(v) kheem, ahilo lampi umsak",n,C2,"(v) kheem, ahilo lampi umsak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
deluge,"(n) tuilian, tuikhang tui ciin, guahpi",n,C2,"(n) tuilian, tuikhang tui ciin, guahpi",,,,"But unfortunately by then, the demographic deluge had happened",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
"deluge
flood",tuuiciin,,C2,tuuiciin,,,,,,,Tongdot-DLH,,
delusion,(n) kheemna,n,C2,(n) kheemna,,,,Fadil' upna pen lungsim phawmna (delusion) ah kilep hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delusive,(a) atataklo; ahilopi,adjective,C2,(a) atataklo; ahilopi,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
deluxe,"(a) a hoih mahmah, a nuam diak a kibawl omna",adj,C2,"(a) a hoih mahmah, a nuam diak a kibawl omna",,,,"Encarta Encyclopedia (CD-Rom), 2005 Deluxe Edition",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
delve,(v.t): နှိုက်နှိုက်ချွတ်ချွတ်၊ အသည်းအသန် ကြိုးစားရှာဖွေသည်။ The inquiry will delve very deeply into security arrangements at the airport. နှိုက်၍ ရှာသည်။ She delved in her bag for a pen.,verb,C2,(v.t): နှိုက်နှိုက်ချွတ်ချွတ်၊ အသည်းအသန် ကြိုးစားရှာဖွေသည်။ The inquiry will delve very deeply into security arrangements at the airport. နှိုက်၍ ရှာသည်။ She delved in her bag for a pen.,,,,To delve into the science of Zolaay,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
dem,compete,v,A2,against | could | rebelled | strengtheneth | almighty,,,"hang, cih, mipa, nial, langpangin",“Jeremiah la un. Limtakin kem un la bawlsia kei un.,,Verb — use as action word in SOV sentence: [Subject] [Object] {word} hi.,"Tongdot-DLH, Tongdot-VZT, zomidictionary.app",,2CH
demagogue,"(n) milungsim la dinga thugenna, (atatak gen sanga mi lungsim la theithei dinga party makai in a genna)",n,C2,"(n) milungsim la dinga thugenna, (atatak gen sanga mi lungsim la theithei dinga party makai in a genna)",,,,Tom pen demagogue hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demagogy,(n.): cu tivek sinak.,noun,C2,(n.): cu tivek sinak.,,,,,,,"Dongdot, TongDot, Dr. Dal Lian Haokip",,
demand,"(v) kisam, ngen; (n) kisapna, ngetna",verb,C2,"(v) kisam, ngen; (n) kisapna, ngetna",,,,Different spirits demand different sacrifices,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demarcate,"(v) gamgi khen, kigi bawlkhia",verb,C2,"(v) gamgi khen, kigi bawlkhia",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demarche,"gam kiuk zia kal suanna, demarche",noun,C2,gam kiuk zia kal suanna | demarche,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demas,physician,n,C1,physician | forsaken | demas | hath | having,,,"luka, hopih","ka naseppih Marka, Aristarkhas, Demas, leh Luka-te in hong hopih uh hi.","Mark, Aristarchus, Demas, Luke, my fellowlabourers.",Attested 180× across 6 Bible books.,,2,COL
demean,"(v) niamkiat, hihna ngei sanga kia zaw",verb,C2,"(v) niamkiat, hihna ngei sanga kia zaw",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demeaning,(adj.): ဂုဏ်ငယ်စေသော။ အောက်ကျသော။ သိက္ခာကျသော။,adjective,C2,(adj.): ဂုဏ်ငယ်စေသော။ အောက်ကျသော။ သိက္ခာကျသော။,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
demeanor,"(n.): (formal) ပြောဆိုပြုမူပုံ။ ကိုယ်နှုတ်အမူအရာ။ (Brit., demeanour)",n,C2,"(n.): (formal) ပြောဆိုပြုမူပုံ။ ကိုယ်နှုတ်အမူအရာ။ (Brit., demeanour)",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, TongDot",,
demeanour,(n) gamtat luhek,noun,C2,(n) gamtat luhek,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
demented,(adj.): mihai; ngaihsutna maan lo mi,adj,C2,(adj.): mihai; ngaihsutna maan lo mi,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
dementia,"dementia, khangham ngaihsut kiamna",noun,C2,dementia | khangham ngaihsut kiamna,,,,Tom in dementia nei hi.,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demerit,"(n) maan lohna, hoihlohna, deih huailohna",n,C2,"(n) maan lohna, hoihlohna, deih huailohna",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demesne,"leitang neih theih na ngah na, demesne",noun,C2,leitang neih theih na ngah na | demesne,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demetrias,demetrius,n,C1,demetrius | hath | man | craftsmen | good,,,nei,naseppih mite-a' dingin hauhna lianpi,,Attested 295× across 4 Bible books.,,2,ACT
demi,"alang khen khat, demi",prefix,C2,alang khen khat | demi,,,,laimai khat sungah la dawng 2 a om tampi om ahi hi.,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demigod,(n) mihing pasian banga kizatna,noun,C2,(n) mihing pasian banga kizatna,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
demijoin,"demijoin, nang khautawh kikan agongneu tholpi",noun,C2,demijoin | nang khautawh kikan agongneu tholpi,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demilish,"inn phelsiatna phuut siatna, tuukse sak",verb,C2,inn phelsiatna phuut siatna | tuukse sak | demilish | v. kaaituuk; susia; a hoih lai pen laisia; tuukse sak; inn phelsiatna phuut siatna. | kaaituuk,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
demimonde,"omdan tatdan ginalo a gamta mi pawl, demimonde",noun,C2,omdan tatdan ginalo a gamta mi pawl | demimonde,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demin,hearken,n,B1,hearken | mightily | against | did | rebelled,,,,“Tua ciangin kei hong demin,,Attested 305× across 6 Bible books.,,2,EZK
demirep,numei kizuak (pumpi zuakna tawh kivak numei thaangtat),n|noun,C2,numei kizuak (pumpi zuakna tawh kivak numei thaangtat) | n. numei kizuak (pumpi zuakna tawh kivak numei thaangtat). | demirep,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
demise,(n) sihna,n,C2,(n) sihna,,,,::And the danger for our ethnological demise,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demit,"nasep pana tawp (hihna pan kitawp), demit",verb,C2,nasep pana tawp (hihna pan kitawp) | demit | v. nasep pana tawp (hihna pan kitawp).,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
demlai,contrary,n,C2,contrary | walk | reformed | these | things,gawtin,,note,“Hih banga hihna tawh note hong kihei tuanloin,,Attested 55× across 2 Bible books.,,,
demna,emulation,n,C2,walked | contrary | brought | land | enemies,,,lungsim,Pawlkhatte in ahih leh lungsim hoih tawh hiloin ka thongkiatna-ah,,Noun — use as subject or object; nominalize with +na for abstract form.,zomidictionary.app,,
demngam,to defy to challenge,,C2,to defy to challenge,,,,David pen abeisa gamkiteelpina khat ah,,,Tongdot-DLH,,
demnopna,against,n,C2,against | israel | nevertheless | disobedient | rebelled,,,"lungsim, zongin, nei",demnopna lungsim nei uh hi.,,Attested 180× across 4 Bible books.,,,
demo,"deihna lah khiatna, demo",noun,C2,deihna lah khiatna | demo,,,,"20, 1948 ni in Zomite Demo-cracy (Gr.",,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demob,"demob, abbr for demobilize",transitive verb,C2,demob | abbr for demobilize,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
democracy,(n.): gambup mi atamzaw deihna tawh ki-ukna; mipi deihna banga kiteelna-a cing mipi taanga palaite' thuneihna tawh ki-ukna; mi tam zawte' deihna banga ki-ukna,n|noun,C2,(n.): gambup mi atamzaw deihna tawh ki-ukna; mipi deihna banga kiteelna-a cing mipi taanga palaite' thuneihna tawh ki-ukna; mi tam zawte' deihna banga ki-ukna,,,,I democracy kisia hiaihiai hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
democrat,(n) mi tamzaw thu tawh vaihawm ding a deih,noun,C2,(n) mi tamzaw thu tawh vaihawm ding a deih,,,,Tom pen social democrat ahi.,,,"TongDot, Tongdot-TKD, Dongdot",,
democrate,"n. mipi deihna banga ki-ukna a deih mi., democrate",n,C2,n. mipi deihna banga ki-ukna a deih mi. | democrate | mipi deihna banga ki-ukna a deih mi | deihna banga ki-ukna a deih mi,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
democratic,(a) mi atamzaw deihna banga vaihawmna zia,adj,C2,(a) mi atamzaw deihna banga vaihawmna zia,,,,Tom pen democratic socialist ahi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demode,"demode, hun tawh kituak nonlo",adjective,C2,demode | hun tawh kituak nonlo,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demography,"(n) cinatna, sihna leh pianna khawng akim diudeu a lahna",n,C2,"(n) cinatna, sihna leh pianna khawng akim diudeu a lahna",,,,"""Demography of the Manipur"" (PDF)",,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demoiselle,"demoiselle, nungak",noun,C2,demoiselle | nungak,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demolish,"(v) phelkhia, simgawp, susia",transitive verb,C2,"(v) phelkhia, simgawp, susia",,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
demon,"(n) dawi, mihingte ading hoih deihlo banga akingaihsun mi, dawi leh-kaute",n,C2,"(n) dawi, mihingte ading hoih deihlo banga akingaihsun mi, dawi leh-kaute",,,,Maxwell's Demon in thermodynamics thukhamte kalh hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demoniac,"dawi-vei, demoniac",adj,C2,"dawi-vei | demoniac | dawi-vei dawi-nei mi dawi-luut mi dawi deihna banga om mi | dawi-luut mi, dawi deihna banga om mi, | dawi-nei mi",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
"demonic
demoniacal",demonic demoniacal,adjective|noun,C2,demonic demoniacal,,,,,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demonolatry,"demonolatry, dawi biakna",n,C2,demonolatry | dawi biakna | n. dawi biakna. | biakna,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
demonology,demonology,noun,C2,Dawi thu sutna. Pasian tate a langdo dawi thu sinna leh sutna hi. | demonology | Demonology,,,,,,,"Tongdot-MCPG, Dongdot, Dr. Mang Cin Pau Gualnam",,
demons,"Demons, demons",noun,C2,"Demons | demons | Dawite. Vantungmite sung pan hong mengkhia nam khat hi. Lucifer in Pasian a demsawm ciangin Pasian in lei ah khiasuk a tua pan in Satan hong piang hi. Pasian bawlsa na khempeuh hoih ahih manin vantungmite zong a cil in hoih uhhi. Ahi zongin vantungmi pawl khat in Satan makaihna zui a Pasian langdo uhhi. Pasian a langdo vantungmite in Zeisu ze-et banah mihingte bawlsia uhhi. Dawite in mihing leh ganhingte dongin bawlsia thei uhhi. Dawite in uplahna, uplohna, cinatna, haina, hehna cihte piangsak hi. Ahi zongin thuzuite in dawite nasepna kidal thei leh kido thei hi. Dawi in thuzuite hong zolo hi (Efe.6:10-18).",,,,Khawlkhia (demons) ka hi uh hi.,,,"Tongdot-MCPG, Dongdot, Dr. Mang Cin Pau Gualnam",,
demonstrate,"(v) ahoihna zia hihna lak, mi muh dinga lakkhia",verb,C2,"(v) ahoihna zia hihna lak, mi muh dinga lakkhia",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demonstrative,(adj.): သက်သေသာဓကနှင့်ထင်ရှားစေသော။ စိတ်ဆန္ဒကိုထုတ်ဖော်ပြသော။,adjective,C2,(adj.): သက်သေသာဓကနှင့်ထင်ရှားစေသော။ စိတ်ဆန္ဒကိုထုတ်ဖော်ပြသော။,,,,Kawkna min-ai (demonstrative pronouns) tam lua hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demonstrator,(n.): သရုပ်ပြ။,n,C2,(n.): သရုပ်ပြ။,,,,U Tuang Za Khai (Kalay University Demonstrator) 5.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demos,"demos, mi hon mipi",noun,C2,demos | mi hon mipi,,,,You will find the demos in ‘rogan>inc>demos this path,,,"Tongdot-TKD, Dongdot, Pu Thang Khan Dal",,
demote,"(v) kiamsuksak, kiasak",verb,C2,"(v) kiamsuksak, kiasak",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demoted,zakia,,C2,zakia,,,,,,,Tongdot-VZT,,
demotic,(adj.): (formal) (စကားစသည်) အရပ်သုံး ဖြစ်သော၊ အများသုံးဖြစ်သော၊ တွင်ကျယ်သော။ television that most demotic of forces.,adjective,C2,(adj.): (formal) (စကားစသည်) အရပ်သုံး ဖြစ်သော၊ အများသုံးဖြစ်သော၊ တွင်ကျယ်သော။ television that most demotic of forces.,,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
demte,jealous,n,B2,jealous | god,,,,{ Topa } Pasian in amah a demte koihkhonglo,,Attested 20× across 2 Bible books.,,1,NAH
demur,(v.): mi khat ii nialna hanga hih ding bang a hih ngam pha lo,intransitive verb,C2,(v.): mi khat ii nialna hanga hih ding bang a hih ngam pha lo,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demure,"demure, adj. zum thei mi; kam tam lo-a om hiithiat mi,",adj,C2,"demure | adj. zum thei mi; kam tam lo-a om hiithiat mi, | thei mi | om hithiat hi | kam tam lo-a om hiithiat mi,",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demurrage,demurrage,n,C2,"n. van pua motorte kianga a vanpuakte uh a neite'n a laak pah loh manua liau sum, van puakna tawh kisai-a liau sum. | demurrage | van pua motorte kianga a vanpuakte uh a neite’n a laak pah loh manua liau sum van puakna tawh kisai-a liau sum | pua motorte kianga a vanpuakte uh a neite'n a laak pah loh manua liau sum, van puakna tawh kisai-a liau sum | meileeng/tembawtung pan ciangtan hun val in van khiatna hunval van khiatman tembawte piak thaman",,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demy,"22.5''*17.5'' alian a ki khen lai dal, laidal liatna (a taangpi-in letmat 18x23)",n,C2,22.5''*17.5'' alian a ki khen lai dal | laidal liatna (a taangpi-in letmat 18x23) | demy | n. laidal liatna (a taangpi-in letmat 18x23).,,,,,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",,
demystify,"(v.): (pt, pp -fied) theih olter deuh.",transitive verb,C2,"(v.): (pt, pp -fied) theih olter deuh.",,,,,,,"TongDot, Tongdot-TKD, Dongdot",,
demzo,magicians,v,C2,magicians | could | stand | before | moses,"mitphial, siamte",,,Mitphial siamte in meimatum veina hangin Moses demzo nawnlo uh,,Attested 85× across 2 Bible books.,,,
den,earth,n,A1,earth | burning | cloud | your | day,,,"keimah, hang, cih, tawntungin, zongin","Topa leh ama hatna zong un la, ama ompihna zong den un!",Seek the,Attested 2707× across 27 Bible books.,"Tongdot-DLH, Dr. Dal Lian Haokip, Tongdot-TKD",20,GEN
den'ding,jews,n,C2,jews | rulers | use | despitefully | stone,,,,Gentail mi leh Jew mite in,,Attested 75× across 2 Bible books.,,,
den'gawp,without,n,C2,without | violence | feared | people | lest,,,,Tua ciangin biakinn ukpa leh,,Attested 100× across 2 Bible books.,,,
den'gawpna,mighty,n,C2,mighty | waters | overflowing | cast | down,,,,tuikhang leh a thahat huihpi bangin amah in leilak den'gawpna ding hi.,,Attested 125× across 2 Bible books.,,,
den'khap,thou,n,C2,thou | shalt | bringeth | layeth | low,,,"dengzan, tawn, satkham, beelsekpa, beel",Sik tawn khat tawh amaute na satkham ding,,Attested 237× across 5 Bible books.,,,
den'khapna,wilt,n,C2,wilt | thou | children | set | fire,"anvai, singteh",,,"namsau tawh amau' tangvalte thatin, amau' naupang neute lei na den'khapna ding",,Attested 245× across 2 Bible books.,,,
den'lup,thou,n,C2,thou | moses | law | commanded | such,,,"bangci, ngaihsut",Hih bang mite pen suang tawh den'lup dingin i Thukham,,Attested 170× across 4 Bible books.,,,
den'na,cast,n,C2,cast | down | ground | earth | lay,,,"leilak, sung, kumpi, tuipi, suang",Nangmah in ama khut panin a kumpi ciangkhut na lakhia,,Attested 1599× across 23 Bible books.,,,
den'paih,forasmuch,n,C2,forasmuch | thou | sawest | stone | cut,,,,"a khiatna zong a man bangin kong genzo hi,” a ci hi.",,Attested 250× across 2 Bible books.,,,
denarias,hypocrisy,,C1,hypocrisy | missing | give | knowing,,,,"Phiangsiah dangka hong lak un,”",,,,2,MRK
denarius,denarius,n,C2,"n. Taanglai Romete' sumtang, Topa Jesus hun lai-a kizangh sumtang. | denarius | Taanglai Romete’ sumtang Topa Jesus hun lai-a kizangh sumtang | Taanglai Romete' sumtang, Topa Jesus hun lai-a kizangh sumtang",,,,Denarius khat pen sesterce li tawh a man kikim hi.,,,"Tongdot-DLH, Dr. Dal Lian Haokip, Dongdot",,
